day,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
"1","-","657,81","651,79","678,53","-","-","679,15","708,82","-","700,21","-",
"2","674,95","665,90","670,62","660,67","692,33","-","681,07","-","-","-","-",
"3","-","649,80","679,02","-","694,84","718,75","680,06","-","726,17","-","-",
"4","697,09","-","-","670,05","683,31","709,80","681,30","-","724,72","727,80","-",
"5","-","653,80","696,78","677,64","659,07","666,32","-","711,13","723,30","-","-",
"6","697,64","655,39","656,57","667,55","-","704,59","680,48","-","725,69","719,53","-",
"7","-","649,22","679,08","676,21","-","678,32","694,16","716,40","727,08","-","-",
"8","667,04","649,92","683,73","-","696,46","679,86","-","721,55","-","-","-",
"9","688,42","653,90","658,40","-","-","716,35","681,09","692,21","-","715,53","-",
"10","679,69","654,44","662,19","664,17","683,49","-","683,12","718,55","-","717,05","-",
"11","-","660,82","667,21","-","-","696,81","683,27","709,26","-","-","-",
"12","678,09","-","-","663,15","686,43","692,28","688,88","-","713,72","724,27","-",
"13","672,42","654,33","697,23","-","665,12","662,27","685,81","709,52","-","-","-",
"14","672,26","-","-","663,91","696,70","-","688,28","713,22","715,24","-","-",
"15","672,41","-","-","668,19","698,03","683,41","691,57","-","722,17","-","-",
"16","677,58","656,46","670,83","662,92","-","697,34","685,40","-","714,77","720,61","-",
"17","-","664,19","660,82","669,37","-","693,60","683,38","712,04","714,39","-","-",
"18","-","660,49","667,09","-","685,67","694,89","-","716,69","711,29","-","-",
"19","675,15","661,60","665,68","-","693,04","696,25","-","708,37","-","-","-",
"20","694,77","-","-","672,56","678,71","-","677,62","704,88","720,20","729,38","-",
"21","673,76","-","-","662,86","692,62","-","-","710,14","707,07","-","-",
"22","672,73","-","-","663,98","692,79","698,72","679,48","-","709,81","-","-",
"23","660,48","671,37","663,98","669,39","-","699,52","681,69","-","-","-","-",
"24","680,10","-","-","663,01","684,51","-","685,83","710,98","711,22","722,28","-",
"25","-","658,75","664,78","-","696,61","693,99","-","711,94","-","-","-",
"26","670,10","654,52","666,13","-","-","684,19","-","710,63","-","-","-",
"27","672,14","651,36","676,60","672,83","-","682,31","691,36","-","721,92","-","-",
"28","-","652,78","693,25","657,49","-","678,68","-","721,70","717,52","-","-",
"29","671,29","-","681,09","673,86","703,48","-","696,62","724,20","-","-","-",
"30","669,60","-","-","677,67","708,20","-","697,22","720,65","725,68","-","-",
"31","666,76","-","-","-","707,86","-","699,98","-","-","-","-",